#,Temp,Pressure,Backflow
936,-0.07%,0.18%,-15.83%
671,0.81%,0.19%,40.99%
429,0.81%,0.19%,-24.40%
276,-0.42%,0.20%,-6.71%
770,0.17%,0.21%,-11.26%
960,-0.57%,0.21%,-9.44%
722,0.29%,0.21%,-6.82%
444,-0.10%,0.24%,-4.70%
672,1.16%,0.24%,20.51%
566,0.07%,0.25%,-11.60%
624,0.06%,0.25%,-17.62%
957,0.04%,0.26%,-19.83%
955,-0.21%,0.26%,-17.90%
741,0.32%,0.26%,8.27%
917,0.00%,0.27%,-7.00%
425,0.38%,0.27%,-31.73%
29,0.59%,0.27%,-6.33%
876,0.07%,0.28%,-12.61%
88,-1.35%,0.28%,-22.58%
853,-0.11%,0.29%,-11.66%
79,-0.43%,0.29%,-30.61%
880,-0.04%,0.29%,-10.36%
760,0.09%,0.29%,-6.30%
703,0.01%,0.30%,-3.66%
487,1.36%,0.30%,17.14%
596,-0.44%,0.31%,-27.58%
314,-0.12%,0.31%,-5.31%
211,-0.06%,0.32%,-12.72%
14,1.23%,0.32%,8.21%
790,-0.51%,0.33%,5.73%
636,0.51%,0.33%,-8.12%
338,-0.21%,0.34%,16.61%
916,-0.10%,0.35%,-2.96%
912,0.08%,0.35%,2.18%
76,0.54%,0.36%,-25.24%
437,0.69%,0.36%,-23.18%
250,0.24%,0.38%,-17.68%
435,0.68%,0.38%,-26.01%
812,-0.16%,0.38%,-9.09%
868,0.35%,0.38%,-10.06%
339,-0.08%,0.39%,2.02%
142,2.78%,0.39%,66.81%
878,-0.01%,0.40%,-11.73%
213,0.41%,0.40%,-14.87%
763,-0.08%,0.40%,-10.82%
825,-0.01%,0.41%,-13.46%
978,0.18%,0.41%,-17.15%
929,0.59%,0.42%,-9.69%
47,0.08%,0.42%,-21.73%
773,0.27%,0.42%,-12.62%
718,0.57%,0.42%,-8.97%
946,-0.11%,0.42%,-18.94%
768,0.44%,0.44%,-10.74%
627,-1.28%,0.44%,-12.41%
966,-0.24%,0.44%,-19.57%
97,1.01%,0.46%,-29.75%
537,-0.37%,0.48%,12.28%
875,-0.01%,0.48%,-11.61%
513,-3.07%,0.48%,87.31%
63,0.61%,0.49%,-22.67%
40,-0.02%,0.49%,-17.39%
517,-0.61%,0.49%,13.23%
42,0.22%,0.50%,-17.21%
514,-0.08%,0.50%,73.93%
261,0.24%,0.51%,-9.90%
981,-0.28%,0.53%,-0.69%
389,0.24%,0.53%,-26.71%
352,1.47%,0.53%,8.03%
283,0.65%,0.55%,-11.84%
210,-0.06%,0.55%,-12.47%
669,-1.45%,0.55%,67.63%
227,-0.20%,0.55%,-3.74%
842,-0.15%,0.56%,-10.12%
595,-0.03%,0.58%,-28.03%
23,0.60%,0.60%,5.15%
528,0.05%,0.60%,-10.87%
803,-0.02%,0.60%,44.83%
891,-0.01%,0.60%,32.48%
102,0.56%,0.60%,-30.45%
899,0.29%,0.61%,4.33%
954,-0.04%,0.61%,-19.07%
994,0.00%,0.61%,0.77%
457,1.34%,0.61%,-21.14%
574,0.04%,0.62%,-23.12%
831,0.48%,0.63%,-3.69%
50,0.01%,0.63%,-25.47%
980,-0.41%,0.64%,-0.56%
863,0.29%,0.64%,-10.02%
41,0.83%,0.64%,-12.40%
690,-0.48%,0.65%,41.95%
467,-1.73%,0.65%,46.76%
697,-0.16%,0.65%,9.86%
525,-0.08%,0.66%,-5.34%
631,-1.72%,0.67%,2.59%
784,0.18%,0.67%,-4.53%
783,0.04%,0.67%,-6.83%
928,-0.10%,0.68%,-11.60%
165,3.90%,0.69%,143.23%
471,-1.04%,0.69%,26.42%
320,-0.92%,0.69%,-8.77%
33,-1.19%,0.70%,4.83%
970,0.37%,0.70%,-14.63%
6,0.86%,0.70%,3.66%
333,-0.24%,0.71%,-13.88%
26,0.30%,0.72%,-5.13%
985,0.28%,0.72%,-12.77%
105,0.68%,0.72%,-25.16%
394,-0.09%,0.73%,-25.78%
181,0.03%,0.74%,13.67%
361,0.36%,0.74%,-0.78%
216,0.25%,0.74%,-17.65%
890,-0.31%,0.76%,33.72%
675,-0.25%,0.78%,55.85%
949,0.12%,0.80%,-6.65%
258,0.00%,0.80%,-14.54%
807,-1.10%,0.81%,43.38%
572,0.15%,0.83%,-16.84%
922,0.19%,0.83%,0.89%
557,0.03%,0.83%,-18.79%
698,0.63%,0.84%,19.49%
772,0.37%,0.84%,-13.08%
736,0.10%,0.85%,-10.21%
896,0.23%,0.85%,8.89%
924,-0.16%,0.85%,-11.12%
284,-1.47%,0.86%,-9.47%
479,1.94%,0.87%,15.98%
443,-0.18%,0.87%,-8.17%
615,0.36%,0.89%,-26.51%
244,-0.20%,0.90%,15.43%
304,-0.84%,0.90%,13.73%
931,0.28%,0.90%,-18.07%
764,0.18%,0.91%,-8.08%
83,-2.09%,0.92%,-22.25%
451,0.90%,0.92%,-8.69%
879,-0.40%,0.92%,-15.97%
958,0.40%,0.93%,-17.77%
930,0.49%,0.93%,-8.29%
351,0.29%,0.99%,6.98%
838,-0.70%,0.99%,-13.25%
127,0.86%,1.00%,-0.23%
571,-0.17%,1.01%,-16.11%
873,-0.02%,1.02%,-16.48%
274,-1.19%,1.02%,29.21%
131,-0.79%,1.03%,42.04%
375,-0.97%,1.03%,-12.39%
638,-0.77%,1.03%,-1.54%
991,0.56%,1.05%,-2.90%
90,-0.72%,1.08%,-19.36%
840,0.15%,1.10%,-14.68%
810,0.15%,1.11%,0.37%
173,0.17%,1.11%,14.06%
469,-0.31%,1.11%,8.79%
997,1.47%,1.12%,34.54%
870,-0.02%,1.13%,-12.49%
345,0.19%,1.14%,2.44%
445,0.73%,1.14%,-17.95%
360,0.01%,1.15%,-19.61%
146,-0.56%,1.16%,118.69%
833,0.07%,1.17%,8.79%
279,0.33%,1.18%,-13.19%
293,-0.83%,1.18%,19.70%
854,-0.07%,1.19%,-11.24%
610,0.71%,1.19%,-31.87%
502,1.15%,1.20%,70.76%
238,-0.27%,1.23%,-18.12%
742,0.08%,1.24%,7.67%
634,-0.30%,1.25%,-1.43%
972,0.37%,1.26%,-7.51%
687,0.20%,1.26%,63.53%
919,-0.54%,1.27%,-12.93%
871,0.12%,1.27%,-10.87%
1,0.44%,1.28%,5.23%
630,0.17%,1.29%,-7.10%
567,1.01%,1.30%,-18.42%
785,0.18%,1.32%,-4.43%
501,-0.34%,1.32%,73.36%
603,0.19%,1.33%,-30.67%
869,-0.06%,1.35%,-12.19%
231,-0.04%,1.38%,-25.30%
397,0.22%,1.39%,-27.49%
317,0.69%,1.41%,-13.66%
799,0.77%,1.41%,12.60%
536,0.12%,1.41%,6.65%
472,0.26%,1.41%,28.86%
839,-0.17%,1.41%,-4.42%
412,0.45%,1.43%,-26.44%
379,0.09%,1.43%,-20.15%
404,0.21%,1.44%,-27.96%
889,-0.56%,1.44%,22.43%
522,0.08%,1.45%,-7.29%
44,0.33%,1.46%,-21.14%
660,-0.97%,1.47%,20.90%
417,0.20%,1.47%,-25.72%
759,-0.06%,1.49%,-6.50%
183,0.52%,1.50%,10.71%
318,0.36%,1.51%,-18.36%
654,-0.11%,1.51%,58.76%
909,-0.27%,1.52%,-5.68%
399,-0.51%,1.52%,-22.39%
365,1.08%,1.52%,1.63%
325,0.35%,1.53%,-14.95%
962,-0.89%,1.54%,-5.49%
617,-0.30%,1.55%,-19.70%
843,-0.56%,1.57%,-7.87%
267,0.88%,1.57%,6.47%
346,0.28%,1.57%,6.14%
989,0.39%,1.57%,-9.15%
553,0.43%,1.58%,6.52%
476,0.00%,1.59%,-29.20%
48,0.03%,1.59%,-25.94%
811,0.00%,1.60%,-9.59%
18,-0.46%,1.60%,-3.06%
755,0.02%,1.61%,4.50%
744,0.22%,1.64%,-1.45%
396,0.65%,1.64%,-27.48%
291,0.49%,1.66%,42.90%
723,0.20%,1.67%,-12.51%
410,0.15%,1.67%,-30.90%
403,1.25%,1.69%,6.72%
273,-1.27%,1.69%,1.01%
347,-0.60%,1.70%,-5.90%
280,0.05%,1.70%,-10.16%
895,-0.58%,1.71%,4.59%
117,0.72%,1.72%,-23.04%
286,-0.05%,1.73%,-5.67%
81,1.64%,1.74%,-29.78%
898,-0.09%,1.78%,4.61%
548,0.05%,1.79%,-9.30%
486,0.65%,1.81%,-18.47%
277,-0.12%,1.82%,-22.18%
845,0.08%,1.83%,-11.33%
813,-0.11%,1.85%,-5.63%
623,1.60%,1.90%,-18.03%
827,0.12%,1.92%,-17.18%
856,0.60%,1.92%,-17.43%
892,0.00%,1.92%,26.91%
382,0.32%,1.93%,-26.27%
332,0.28%,1.93%,-16.02%
407,0.42%,1.94%,-31.55%
953,0.30%,1.95%,-16.68%
242,-0.06%,1.96%,-24.56%
561,0.95%,1.97%,-18.44%
248,0.23%,1.99%,59.83%
239,0.08%,2.03%,4.84%
563,0.23%,2.03%,-9.27%
381,0.81%,2.04%,-19.70%
74,1.03%,2.05%,-15.51%
776,-0.11%,2.06%,-6.57%
328,0.48%,2.06%,-12.69%
483,-0.29%,2.07%,35.74%
478,0.03%,2.08%,10.90%
864,0.44%,2.08%,-8.25%
421,-0.29%,2.09%,-24.64%
540,0.11%,2.10%,-0.48%
611,-0.51%,2.12%,-31.53%
391,0.25%,2.12%,-20.48%
49,0.12%,2.13%,-27.13%
538,-0.10%,2.16%,10.75%
100,0.77%,2.22%,-33.59%
199,-0.50%,2.23%,-12.69%
208,-0.22%,2.31%,3.66%
801,-0.09%,2.31%,21.70%
560,0.38%,2.32%,-20.43%
816,0.12%,2.33%,-7.92%
71,0.02%,2.34%,-23.15%
641,0.70%,2.34%,22.64%
749,-0.15%,2.35%,-7.05%
295,-0.16%,2.37%,20.47%
19,0.53%,2.37%,-3.41%
420,0.06%,2.37%,-26.57%
778,-0.26%,2.38%,-12.00%
82,1.15%,2.39%,-25.55%
9,0.98%,2.39%,-2.34%
212,-0.07%,2.40%,-13.62%
344,0.01%,2.42%,2.88%
633,-0.83%,2.43%,-5.08%
254,-0.49%,2.43%,26.07%
378,0.48%,2.44%,-16.76%
84,1.22%,2.45%,-15.09%
969,-0.39%,2.46%,-18.04%
447,0.05%,2.47%,-10.70%
104,-0.55%,2.48%,-28.21%
489,-0.29%,2.50%,39.01%
492,0.02%,2.56%,-12.71%
700,0.58%,2.56%,14.51%
789,0.07%,2.58%,4.88%
461,4.43%,2.60%,60.25%
10,0.50%,2.60%,-6.45%
836,-0.93%,2.62%,-3.23%
308,0.72%,2.63%,29.21%
225,0.19%,2.63%,-4.03%
134,-0.44%,2.64%,29.70%
726,-0.39%,2.65%,2.15%
180,-0.23%,2.65%,10.52%
7,-0.76%,2.65%,1.77%
897,-0.15%,2.67%,-0.40%
743,0.02%,2.67%,5.89%
432,0.56%,2.69%,-24.98%
148,0.72%,2.69%,145.57%
481,0.89%,2.70%,18.63%
923,0.49%,2.70%,-5.96%
192,-0.25%,2.71%,-6.51%
826,0.41%,2.73%,-14.32%
515,0.24%,2.74%,21.26%
1000,-0.54%,2.74%,61.95%
674,-0.71%,2.75%,44.50%
646,0.86%,2.75%,26.40%
788,-0.12%,2.77%,9.91%
599,0.48%,2.79%,-27.58%
767,0.07%,2.80%,-4.37%
757,0.30%,2.81%,3.11%
236,0.40%,2.82%,-21.85%
696,0.27%,2.84%,7.31%
251,0.64%,2.85%,-18.21%
431,0.58%,2.86%,-23.37%
893,-0.04%,2.87%,18.50%
653,-1.77%,2.91%,67.28%
20,1.91%,2.92%,-3.68%
713,-0.03%,2.93%,-0.93%
64,-0.09%,2.94%,-25.60%
259,0.74%,2.95%,-15.34%
422,0.43%,2.96%,-26.65%
78,0.77%,2.97%,-26.47%
372,0.81%,2.97%,-11.59%
313,0.18%,2.98%,28.04%
24,-0.14%,2.99%,-1.26%
54,0.34%,3.02%,-27.39%
35,-3.08%,3.04%,11.59%
440,-0.04%,3.07%,-7.99%
246,0.53%,3.09%,-19.79%
511,-0.12%,3.10%,56.72%
473,-2.16%,3.10%,34.99%
545,0.43%,3.17%,-9.13%
455,2.33%,3.18%,9.35%
562,-0.28%,3.19%,-15.29%
419,0.18%,3.20%,-25.71%
197,-0.07%,3.23%,-11.70%
198,0.52%,3.25%,-12.03%
116,0.51%,3.26%,-8.25%
988,-0.23%,3.27%,-12.19%
485,0.32%,3.28%,43.58%
604,0.59%,3.34%,-29.61%
22,-2.51%,3.36%,4.84%
468,-0.96%,3.37%,41.85%
600,-0.16%,3.38%,-29.26%
855,0.32%,3.38%,-14.58%
330,-1.19%,3.39%,-6.39%
405,-0.29%,3.42%,-11.02%
263,0.29%,3.43%,8.88%
322,-0.69%,3.44%,-9.13%
956,0.26%,3.45%,-17.85%
941,-0.22%,3.45%,-11.29%
618,0.18%,3.48%,-28.98%
109,0.61%,3.50%,-21.51%
285,-0.33%,3.53%,29.19%
55,0.78%,3.53%,-27.59%
762,-0.10%,3.54%,-7.90%
508,-0.09%,3.56%,45.60%
436,0.16%,3.59%,-25.21%
937,0.39%,3.65%,-15.39%
329,-0.13%,3.65%,-5.53%
993,0.08%,3.67%,2.76%
427,0.08%,3.70%,-27.84%
354,-0.51%,3.74%,27.14%
387,0.23%,3.75%,-29.81%
414,-0.94%,3.75%,-15.04%
587,0.03%,3.77%,10.93%
908,-0.23%,3.81%,-4.97%
906,-1.48%,3.85%,7.51%
61,0.97%,3.90%,-23.05%
520,-0.06%,3.92%,-7.83%
364,0.72%,3.92%,6.30%
847,-0.24%,3.95%,-6.98%
539,-0.01%,4.03%,5.22%
974,0.44%,4.09%,-11.23%
415,-0.17%,4.10%,2.07%
733,0.08%,4.14%,-8.77%
39,0.38%,4.14%,-4.52%
808,0.35%,4.14%,48.52%
705,0.43%,4.23%,-6.77%
98,0.95%,4.24%,-34.01%
913,0.00%,4.29%,-5.99%
504,0.72%,4.30%,81.13%
234,-0.23%,4.35%,-19.86%
662,1.22%,4.37%,11.63%
358,-0.22%,4.42%,18.49%
294,0.41%,4.45%,26.20%
272,-0.27%,4.46%,25.96%
233,-0.20%,4.46%,-17.67%
850,-0.19%,4.58%,-2.40%
565,-0.83%,4.60%,-2.60%
222,0.36%,4.63%,3.98%
737,-0.16%,4.64%,-1.65%
684,3.07%,4.67%,146.30%
932,0.17%,4.70%,-15.96%
939,-0.26%,4.74%,-11.51%
570,-0.10%,4.74%,-17.13%
413,-0.64%,4.76%,-17.63%
809,-0.14%,4.84%,2.30%
575,0.16%,4.84%,-18.56%
927,0.35%,4.87%,-10.83%
752,0.42%,4.90%,-2.16%
186,0.84%,4.91%,37.39%
69,0.02%,4.91%,-31.14%
942,-0.19%,4.91%,-12.24%
426,0.56%,4.96%,-27.76%
452,0.19%,5.01%,-1.68%
177,0.27%,5.02%,3.78%
817,-0.30%,5.04%,-7.86%
2,-0.13%,5.06%,7.19%
163,2.77%,5.06%,152.88%
278,0.17%,5.09%,-12.36%
777,0.20%,5.11%,-6.22%
680,0.73%,5.19%,104.60%
103,0.63%,5.20%,-26.56%
122,-1.34%,5.22%,3.93%
657,0.05%,5.25%,31.96%
59,0.02%,5.27%,-23.28%
747,0.23%,5.36%,-11.79%
531,-0.05%,5.39%,3.33%
153,-1.58%,5.45%,233.56%
75,-0.76%,5.47%,-29.64%
496,-0.82%,5.48%,35.31%
676,0.19%,5.50%,61.85%
648,1.01%,5.51%,51.37%
691,0.89%,5.69%,33.53%
392,0.30%,5.69%,-27.08%
918,0.09%,5.75%,-9.72%
474,1.22%,5.80%,39.37%
357,-0.98%,6.00%,21.22%
821,0.21%,6.20%,-16.33%
108,-0.72%,6.20%,-25.43%
894,0.16%,6.30%,8.67%
228,0.26%,6.38%,-19.01%
147,5.15%,6.48%,157.55%
686,-1.67%,6.53%,249.45%
441,0.28%,6.54%,-8.87%
947,0.06%,6.59%,-14.03%
132,1.13%,6.63%,38.78%
526,-0.24%,6.68%,-7.26%
594,0.07%,6.76%,-25.57%
15,0.28%,6.84%,2.65%
46,-0.52%,6.92%,-20.65%
137,0.46%,7.03%,37.67%
964,0.16%,7.17%,-15.39%
144,-1.15%,7.17%,110.66%
796,-0.07%,7.18%,3.55%
65,-1.10%,7.21%,-23.19%
266,1.15%,7.22%,11.51%
306,1.45%,7.27%,18.03%
167,-2.74%,7.30%,175.76%
644,0.21%,7.34%,33.67%
402,-0.10%,7.77%,-12.94%
384,-0.53%,8.00%,14.07%
740,0.04%,8.02%,22.34%
85,-2.06%,8.13%,-21.25%
16,-0.15%,8.13%,1.44%
859,0.05%,8.15%,-12.46%
516,-0.58%,8.30%,19.59%
458,0.32%,8.34%,20.68%
281,-0.94%,8.37%,-8.75%
27,-0.75%,8.37%,-2.89%
25,-1.13%,8.56%,2.13%
984,0.32%,8.59%,-6.96%
951,0.08%,8.64%,-13.67%
187,-0.49%,8.72%,12.59%
608,-0.08%,8.85%,-7.28%
241,0.38%,8.95%,-20.57%
380,-0.23%,9.07%,-4.63%
383,-0.51%,9.26%,-26.40%
194,0.18%,9.34%,-8.04%
589,-0.21%,9.44%,6.60%
556,-0.13%,9.49%,-4.73%
175,0.06%,9.50%,8.79%
665,-0.08%,9.53%,27.73%
303,1.58%,9.57%,-17.45%
202,-0.14%,9.93%,-5.02%
667,1.22%,10.01%,36.96%
584,-0.32%,10.01%,-2.95%
355,0.07%,10.12%,26.44%
555,-0.20%,10.18%,7.20%
204,0.26%,10.20%,-2.38%
370,-0.01%,10.31%,26.66%
290,-1.85%,10.43%,20.82%
159,2.44%,10.44%,211.34%
95,-0.72%,10.45%,3.06%
996,0.45%,10.46%,2.69%
518,-0.21%,10.59%,8.83%
297,0.08%,10.59%,31.48%
578,0.19%,11.16%,-14.35%
172,-0.21%,11.38%,25.03%
867,-0.16%,11.64%,31.95%
123,-0.63%,11.77%,8.36%
151,-5.22%,12.17%,168.13%
135,1.46%,12.74%,33.58%
505,-0.65%,12.93%,49.19%
310,-0.40%,13.34%,65.34%
475,0.01%,13.45%,27.90%
158,-2.98%,14.03%,323.49%
903,-0.27%,14.04%,4.72%
791,0.09%,15.99%,11.43%
368,0.64%,16.08%,36.51%
168,-0.75%,16.62%,175.50%
795,-0.13%,17.76%,6.95%
593,0.29%,18.68%,-18.81%
190,-1.13%,19.64%,31.98%
205,0.41%,20.37%,-1.29%
93,-0.97%,22.17%,-14.38%
162,-1.68%,23.50%,162.11%
171,-0.68%,30.27%,82.67%